,Camion 1
0,bbd7e19c-29d6-4777-9c4a-b89e61fe0b0e
1,7d3b4300-b0c2-4091-b0ec-a694a4280bff
2,bbd7e19c-29d6-4777-9c4a-b89e61fe0b0e
