,Camion 1
0,08db3cf9-a10e-4baa-a7bc-25820c9c1368
1,ad81dd2a-b2cb-4166-ab67-b8d43cbe4d66
2,08db3cf9-a10e-4baa-a7bc-25820c9c1368
