,camion1,camion2,camion3,camion4
0,0669a542-7241-4f0e-9264-b20fc5409868,0669a542-7241-4f0e-9264-b20fc5409868,0669a542-7241-4f0e-9264-b20fc5409868,0669a542-7241-4f0e-9264-b20fc5409868
1,81215959-1be9-4408-bd5d-120081a20be9,a994dbd6-128c-495c-a4dd-7cc3c108708f,8cf837cb-0a5d-408e-9b83-f60da193d2f2,a521df62-fbd3-4ebd-aa37-80e97a356d14
2,42f31e4d-900c-4f51-ac49-564a79c67d62,0669a542-7241-4f0e-9264-b20fc5409868,0669a542-7241-4f0e-9264-b20fc5409868,0669a542-7241-4f0e-9264-b20fc5409868
3,0669a542-7241-4f0e-9264-b20fc5409868,,,
