,Identifiant,Demande,latitude,longitude,entrepot,client 1,client 2,client 3
0,6,0.0,48.755959000000004,1.9309830000000001,0.0,2811.0,2680.0,3605.0
1,34,0.23,48.6422496,2.4377508,2726.0,0.0,1903.0,1875.0
2,49,0.88,48.5544664,2.1226921,2642.0,1883.0,0.0,1575.0
3,61,0.38,48.5161524,2.2740799,3560.0,1874.0,1535.0,0.0
