,Identifiant,Demande,latitude,longitude,entrepot,client 1,client 2,client 3,client 4
0,2,0.0,48.967846,2.490294,0.0,2339.0,2746.0,3008.0,2140.0
1,27,0.15,49.04682070000001,1.9980606,2295.0,0.0,4475.0,2984.0,520.0
2,32,0.05,48.657684,2.7172418,2749.0,4393.0,0.0,4092.0,4193.0
3,62,0.42,48.7669973,1.937085,3016.0,2942.0,4165.0,0.0,3096.0
4,64,0.87,49.0625811,2.0575447,2150.0,476.0,4330.0,2972.0,0.0
