,Identifiant,Demande,latitude,longitude,entrepot,client 1,client 2,client 3,client 4
0,15,0.0,49.025419,2.118881,0.0,2176.0,4355.0,1314.0,708.0
1,25,0.29,48.9346955,2.5166213,2188.0,0.0,2906.0,2146.0,2051.0
2,31,0.77,48.8966427,2.9865364,4338.0,2758.0,0.0,4297.0,4303.0
3,44,0.02,48.8962388,2.1217667,1338.0,2124.0,4303.0,0.0,1855.0
4,47,0.39,49.0759106,2.207204,693.0,1985.0,4364.0,1804.0,0.0
