,Identifiant,Demande,latitude,longitude,entrepot,client 1,client 2,client 3
0,18,0.0,48.777976,2.432886,0.0,1617.0,3643.0,772.0
1,22,0.16,48.6110677,2.4302085,1611.0,0.0,2375.0,1459.0
2,50,0.23,48.2998259,2.4231138,3556.0,2371.0,0.0,3468.0
3,58,0.55,48.7175259,2.4487716,783.0,1431.0,3508.0,0.0
