,Identifiant,Demande,latitude,longitude,entrepot,client 1,client 2,client 3
0,19,0.0,48.902305,2.367363,0.0,2230.0,4239.0,2953.0
1,24,0.9,49.058459,1.9304841,2200.0,0.0,6203.0,4812.0
2,50,0.26,48.2998259,2.4231138,4224.0,6016.0,0.0,4431.0
3,59,0.97,48.7016752,2.8801813,2877.0,4814.0,4429.0,0.0
