X;Y;osm_id;name;brand;operator;opening_hours;fuel_diesel;fuel_95;fuel_98;fuel_e10;fuel_gpl;com_insee;com_nom
2.2535353;48.8387524997323;node/993642116;Total Porte Saint-Cloud;Total;;24/7;yes;;yes;yes;;75056;Paris
2.32927976107648;48.9000085354528;way/152205002;Relais Porte de Saint-Ouen;Total;;24/7;yes;;yes;yes;;75056;Paris
2.33009161211429;48.8997744444317;way/152205005;Relais Saint-Ouen Bichat;Total;;24/7;yes;;yes;yes;;75056;Paris
2.3248562323993;48.8206570218821;way/176708088;;Total;Total - Relais Maréchal Leclerc;24/7;yes;;yes;yes;;75056;Paris
2.35946996669155;48.8316280547968;way/221071441;Total Access;Total Access;;24/7;yes;;yes;yes;yes;75056;Paris
2.30293394034071;48.8936239200806;way/233599523;Station Service E. Leclerc - Levallois Distribution;E. Leclerc;E. Leclerc;24/7;yes;;yes;yes;yes;75056;Paris
2.30864368735907;48.8455815754835;way/372386505;Total;Total;;24/7;yes;;yes;yes;;75056;Paris
2.27247925963399;48.83398684376;way/509185700;Dépot carburant Heliport;;ADP;;;;;;;75056;Paris
2.38741321427277;48.846403385295;way/78019560;Avia;Avia;;24/7;yes;;yes;yes;;75056;Paris
2.37323198136536;48.8414868623409;way/78158556;;;;24/7;yes;;yes;yes;;75056;Paris
2.35754494417976;48.8350285071136;way/78536213;Total;Total;;24/7;yes;;yes;yes;;75056;Paris
